Heading,0,0,,,"node000"
Heading,1,1,,,"node100"
Heading,2,1,,,"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition"
Heading,3,1,,,"1"
Note,4,1,,,"A Pragmatic Philosphy"
Note,5,1,,,"Qualities"
Note,5,2,,,"Seek out the bigger picture"
Note,5,3,,,"Imformed decisions"
Heading,3,2,,,"1.1 It's Your Life"
Note,4,1,,,"You can change your organization or you can change your organization"
Note,4,2,,,"Learn off the clock"
Note,4,3,,,"own up to our shortcomings"
Heading,3,3,,,"1.2"
Note,4,1,,,"The Cat Ate My Source Code"
Note,5,1,,,"Trust"
Note,5,2,,,"Responsibility is something you actively agree to."
Note,5,3,,,"Don't have control over every aspect"
Note,5,4,,,"Do your personal best"
Note,5,5,,,"Analyze for Risks"
Note,5,6,,,"Commitment"
Note,5,7,,,"You have the right to not to take responsibility for an impossible situation"
Note,5,8,,,"Don't Blame"
Note,5,9,,,"You shoudl expect to be held accountable for it"
Heading,3,4,,,"1.3"
Note,4,1,,,"Software Entropy"
Note,5,1,,,"Keep projects pristine"
Note,5,2,,,"Give"
Heading,3,5,,,"1.4"
Note,4,1,,,"Stone Sour and"
Heading,3,6,,,"1.5"
Note,4,1,,,"Good-Enough Software"
Heading,3,7,,,"1.6 Your Knowledge Porfolio"
Note,4,1,,,""
Heading,3,8,,,"1.7 Communicate"
Heading,1,2,,,"node200"
Heading,2,1,,,"The Pragmatic Programmer Quick Reference Guide"
Heading,3,1,,,"The Pragmatic Programmer Quick Reference Guide"
Note,4,1,,,"This page summarizes the tips and checklists found in The Pragmatic Programmer."
Note,4,2,,,"For more information about The Pragmatic Programmers LLC, source code for the examples, up-to-date pointers to Web resources, and an online bibiography, visit us at www.pragmaticprogrammer.com"
Note,5,1,,,"*  Care About Your Craft
Why spend your life developing software unless you care about doing it well?"
Note,5,2,,,"*  Think! About Your Work
Turn off the autopilot and take control. Constantly critique and appraise your work."
Note,5,3,,,"*  Provide Options, Don't Make Lame Excuses
Instead of excuses, provide options. Don't say it can't be done; explain what can be done."
Note,5,4,,,"*  Don't Live with Broken Windows
Fix bad designs, wrong decisions, and poor code when you see them."
Note,5,5,,,"*  Be a Catalyst for Change
You can't force change on people. Instead, show them how the future might be and help them participate in creating it."
Note,5,6,,,"*  Remember the Big Picture
Don't get so engrossed in the details that you forget to check what's happening around you."
Note,5,7,,,"*  Make Quality a Requirements Issue
Involve your users in determining the project's real quality requirements."
Note,5,8,,,"*  Invest Regularly in Your Knowledge Portfolio
Make learning a habit."
Note,5,9,,,"*  Critically Analyze What You Read and Hear
Don't be swayed by vendors, media hype, or dogma. Analyze information in terms of you and your project."
Note,5,10,,,"*  It's Both What You Say and the Way You Say It
There's no point in having great ideas if you don't communicate them effectively."
